group,treated,treated_male,treated_upvotes,id,male,age,job_raw,region_raw,poli_conserv,poli_conserv_fill,party_raw,party_liberal,party_conserv,metoo_attitude,comm_attitude,comm_hate,comm_liking,comm_user_attitude,comm_report,reply_attitude,reply_upvotes,reply_maleportion,reply_socialnorm,reply_liking,reply_user_attitude,reply_user_realname,reply_user_male,reply_user_female,reply_user_dontknow,reply_report,youtube_attitude,youtube_selfcorrection,youtube_regulation,law_individual,law_company,education,income
1,0,0,0,e6b6cef,1,35,사무/기술직,서울,3,3,,0,0,3,3,2,3,3,2,,,,,,,,,,,,3,4,4,4,4,6,4
1,0,0,0,9c8f8e9,1,42,사무/기술직,인천,,3,1,1,0,2,4,3,3,3,2,,,,,,,,,,,,3,2,4,4,4,4,5
1,0,0,0,4dcba6e,0,27,무직,인천,3,3,,0,0,3,3,4,3,2,1,,,,,,,,,,,,3,3,3,3,3,4,4
1,0,0,0,2ceef44,0,43,전업주부,서울,3,3,,0,0,3,2,2,2,1,2,,,,,,,,,,,,3,4,5,4,4,4,4
1,0,0,0,f4dd57d,1,44,경영/관리직,대전,2,2,,0,0,4,3,4,2,2,3,,,,,,,,,,,,3,3,4,4,4,6,4
1,0,0,0,3bbf86a,1,24,대학생,인천,3,3,,0,0,1,5,2,3,4,1,,,,,,,,,,,,4,1,4,5,5,5,3
1,0,0,0,dd1e48c,0,23,대학생,경기,4,4,,0,0,5,1,5,1,1,5,,,,,,,,,,,,2,2,4,4,4,6,4
1,0,0,0,6270c02,1,32,기능/작업직,충북,3,3,1,1,0,1,2,4,1,1,3,,,,,,,,,,,,3,2,2,2,2,6,3
1,0,0,0,f06a497,1,36,대학생,광주,3,3,1,1,0,3,2,4,3,2,4,,,,,,,,,,,,2,4,4,4,4,6,3
1,0,0,0,3a44f72,1,47,판매/영업 서비스직,서울,4,4,2,0,1,4,1,4,1,2,2,,,,,,,,,,,,4,4,4,4,4,6,10
1,0,0,0,25798af,1,30,자유/전문직,서울,4,4,2,0,1,3,3,2,4,3,3,,,,,,,,,,,,3,3,3,4,4,6,7
1,0,0,0,7b6a80d,1,38,자유/전문직,인천,2,2,,0,0,3,3,3,3,3,3,,,,,,,,,,,,3,3,3,3,3,8,5
1,0,0,0,37a55c0,0,36,자유/전문직,울산,3,3,,0,0,5,1,5,1,1,5,,,,,,,,,,,,2,1,5,5,5,6,5
1,0,0,0,0e2f214,0,20,대학생,경남,4,4,2,0,1,4,1,4,1,2,3,,,,,,,,,,,,4,3,2,2,2,5,11
1,0,0,0,f7cad9c,1,42,사무/기술직,충북,2,2,1,1,0,4,3,4,2,3,2,,,,,,,,,,,,2,2,5,4,5,6,5
1,0,0,0,e55561a,1,44,사무/기술직,경기,2,2,3,1,0,2,4,3,3,2,2,,,,,,,,,,,,3,3,2,3,3,6,7
1,0,0,0,92d33cb,0,38,자유/전문직,서울,4,4,1,1,0,3,2,4,1,1,3,,,,,,,,,,,,4,2,4,4,4,6,6
1,0,0,0,8163c58,1,28,자유/전문직,서울,3,3,5,1,0,2,4,2,2,2,1,,,,,,,,,,,,4,4,2,4,1,6,5
1,0,0,0,a049241,1,41,사무/기술직,서울,1,1,1,1,0,4,3,3,3,3,3,,,,,,,,,,,,4,4,4,5,4,6,4
1,0,0,0,bd12668,0,50,사무/기술직,경기,2,2,2,0,1,4,3,3,2,2,3,,,,,,,,,,,,3,4,4,4,4,2,10
1,0,0,0,6c6d0fe,1,50,기능/작업직,인천,2,2,1,1,0,3,3,3,3,3,3,,,,,,,,,,,,3,3,3,3,3,2,4
1,0,0,0,03bb3b6,1,24,판매/영업 서비스직,서울,3,3,,0,0,3,3,4,3,3,3,,,,,,,,,,,,5,4,4,3,3,6,7
1,0,0,0,069273a,0,37,전업주부,충북,3,3,3,1,0,5,3,3,3,3,2,,,,,,,,,,,,3,4,4,2,2,2,4
1,0,0,0,f3bc0f1,0,28,사무/기술직,제주,3,3,1,1,0,3,1,5,1,1,5,,,,,,,,,,,,2,2,4,4,4,6,3
1,0,0,0,81f2dbd,1,40,무직,경기,3,3,,0,0,4,4,2,1,4,2,,,,,,,,,,,,4,4,4,5,5,6,6
1,0,0,0,712a521,1,51,경영/관리직,경기,3,3,1,1,0,5,2,4,1,2,2,,,,,,,,,,,,4,4,4,2,4,6,8
1,0,0,0,63e8e7d,1,41,사무/기술직,서울,2,2,,0,0,3,3,3,2,3,1,,,,,,,,,,,,3,3,3,3,3,8,4
1,0,0,0,6a08827,0,57,자유/전문직,대구,4,4,,0,0,4,1,4,1,1,3,,,,,,,,,,,,3,3,4,4,4,4,6
